"author","timestamp","sha","tools"
"ThomasWollmann","2017-02-07 14:34:35+00:00","478eb43","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-07 14:42:13+00:00","80ad888","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-07 14:49:42+00:00","b405a7b","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-07 15:22:55+00:00","1cde8c6","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-09 09:26:45+00:00","92068c6","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-11 21:35:08+00:00","70cf7af","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-11 21:50:57+00:00","b680140","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-11 21:54:28+00:00","98a3046","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}, {""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-11 22:21:41+00:00","77f1ea5","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-11 22:23:39+00:00","2a8ca0f","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-12 10:13:01+00:00","7c8ef45","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-15 15:56:11+00:00","1b853a2","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-16 08:13:20+00:00","f074299","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-16 08:36:26+00:00","63b9047","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-16 08:41:37+00:00","35ddae8","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-16 08:48:57+00:00","0dcd31d","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-16 10:10:19+00:00","84957f4","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-21 14:01:59+00:00","2c2b554","[{""name"": ""anisotropic-diffusion"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-21 14:02:27+00:00","3036169","[{""name"": ""mahotas-features"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-02-21 14:17:31+00:00","5e8929a","[{""name"": ""mahotas-features"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-03-01 16:20:47+00:00","2fb27eb","[{""name"": ""color-deconvolution"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-03-02 08:05:29+00:00","93ea918","[{""name"": ""visceral-evaluatesegmentation"", ""categories"": [""Imaging""]}]"
"ThomasWollmann","2017-03-03 14:02:53+00:00","33dc46a","[]"
"","2017-10-26 14:18:12+00:00","7a268bd",""
"ThomasWollmann","2017-10-30 09:33:07+00:00","bf764a2","[]"
"ThomasWollmann","2018-01-16 12:23:24+00:00","cbb0396","[]"
"ThomasWollmann","2018-04-26 15:22:37+00:00","fe0efe8","[]"
"ThomasWollmann","2018-09-14 17:55:55+00:00","ae14c58","[]"
"ThomasWollmann","2018-10-23 14:54:43+00:00","a240e06","[]"
"znerp","2018-11-13 10:28:27+00:00","8069f09","[{""name"": ""binaryimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 12:08:35+00:00","63d6457","[{""name"": ""binaryimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 12:12:38+00:00","4867d80","[{""name"": ""binaryimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 12:41:04+00:00","093fb9a","[{""name"": ""concat_channels"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 13:08:09+00:00","021878b","[{""name"": ""concat_channels"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 18:14:18+00:00","8c59907","[{""name"": ""anisotropic-diffusion"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-13 18:18:45+00:00","94bf1c9","[]"
"znerp","2018-11-13 18:19:39+00:00","656e125","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 11:52:50+00:00","45e78b2","[{""name"": ""concat_channels"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 11:58:47+00:00","e9adbe8","[{""name"": ""detection_viz"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 12:00:29+00:00","61d8ed9","[{""name"": ""detection_viz"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 12:01:20+00:00","243f536","[{""name"": ""concat_channels"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 12:09:34+00:00","d87b279","[{""name"": ""detection_viz"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 12:50:21+00:00","3862eaf","[{""name"": ""detection_viz"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 23:35:04+00:00","bed7509","[{""name"": ""detection_viz"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 23:51:56+00:00","1881220","[{""name"": ""labelimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-16 23:54:37+00:00","1da6d72","[{""name"": ""labelimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-17 13:59:01+00:00","14d5ffd","[{""name"": ""labelimage2points"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 10:15:18+00:00","b30ec0c","[]"
"znerp","2018-11-18 10:15:48+00:00","4143056","[]"
"znerp","2018-11-18 10:19:26+00:00","eacf074","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 10:21:05+00:00","70eeea0","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 11:40:31+00:00","013fb41","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 11:52:25+00:00","a853784","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 12:01:57+00:00","0b5d128","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 12:02:52+00:00","94e5d97","[]"
"znerp","2018-11-18 12:03:30+00:00","68a9fa9","[]"
"znerp","2018-11-18 12:04:44+00:00","9c0a9fe","[{""name"": ""points2binaryimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 12:07:16+00:00","786f2d4","[{""name"": ""points2labelimage"", ""categories"": [""Imaging""]}]"
"znerp","2018-11-18 12:07:53+00:00","eaded48","[{""name"": ""binary2labelimage"", ""categories"": [""Imaging""]}]"
