"author","timestamp","sha","tools"
"bernt-matthias","2024-06-20 20:58:10+00:00","0748c43","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-21 13:11:38+00:00","33810fc","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-21 13:12:35+00:00","ed68470","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}]"
"bernt-matthias","2024-06-21 13:37:59+00:00","dd82b08","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}]"
"bernt-matthias","2024-06-22 08:15:33+00:00","8d03659","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-22 12:45:38+00:00","0266917","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}, {""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 07:35:05+00:00","296c966","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2024-06-23 07:38:21+00:00","ce0f5d7","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2024-06-23 08:19:35+00:00","edfaa04","[]"
"bernt-matthias","2024-06-23 08:20:08+00:00","ff80d4f","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2024-06-23 08:24:30+00:00","0d3034a","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2024-06-23 08:38:33+00:00","5d1033c","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}, {""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 08:39:37+00:00","e832794","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 08:45:20+00:00","0fe498e","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}]"
"bernt-matthias","2024-06-23 15:46:50+00:00","0d3db84","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 15:47:39+00:00","95981eb","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 15:48:37+00:00","d0c183f","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 15:52:47+00:00","302e245","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 15:54:01+00:00","fa9b7ab","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}]"
"bernt-matthias","2024-06-23 16:04:15+00:00","1818676","[{""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-23 16:28:33+00:00","fdde667","[{""name"": ""data_manager_virsorter"", ""categories"": [""Data Managers"", ""Metagenomics""]}, {""name"": ""virsorter"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2024-06-24 07:49:22+00:00","a162327","[]"
"bernt-matthias","2024-06-24 08:05:52+00:00","c83de49","[]"
